english,kabyle
"again","dagh, daghen, dighen"
"against","mgal"
"age","amdur, awetay"
"agency","tafullut, tifullutin"
"agent","ameggi, imegga, imeggan"
"agglutinating","ament'ad"
"agglutinating language","tutlayt tament'ad't"
"aggravation","asenfuffed"
"aggregated","amsaduf"
"aggregation","tasideft"
"aggression","tazernant"
"aggressive","azernin"
"aggressor","amzernan"
"agitation","tasmessit, tismessiyin"
"agitator","asmessay"
"agony","aselqef"
"agreement","agatu, amtawa, amtawi, imtawayen, leâqed, leâqed."
"aid","tadhelt, tidehlin, tirgit"
"air","abehri, azwu, izwuten"
"aircraft carrier","amaway n yisafagen, yisafagen"
"airfield","anafag, inufag"
"airport","anafgan, inufag"
"aktam","aktum"
"albin","abermellal"
"album","iseghraz, iseghrez, takalast"
"alcohol","ighisem, ighusam"
"alcoholic","aghasam"
"algae","adal"
"algorithm","awarzim"
"algorithmic","tasnurzimt"
"alienation","takufd'a, tikufd'iwin"
"all - all","akw qqah merra"
"alley","azergu, izerga"
"alliance","tamsisit, timsisyin, tiseght, tisghin"
"allied","amsisa, imsisan"
"ally","amsisa, imsisan"
"alms","amter, takuuti, tutsra"
"alphabet","agemmay"
"alternating","amlellay"
"alternation","tamlellit, timlelliyin"
"alternative","ameslellay, tamaskalt, tameslellayt"
"amateur","abujad, amaswadh"
"ambassador","anmahal, aqeddac, inmuhal"
"amber","leembar"
"ambiance","iswagh"
"ambiguous","amsulles"
"ambition","tazitla, tizitliwin"
"ambitious","azital, izutal"
"ambivalence","tanat"
"ambulance","tasendut, tisenda"
"ambush","akmin"
"amendment","tinewyin, tinwit"
"america","marikan, tamrikt"
"american","amarikan, amarikani, imarikaniyen, tamarikanit, tamarikant"
"americanism","tamesmarikanit"
"americanist","amesmarikani, imesmarikaniyen"
"americanization","asmerken"
"americanize","asmerken"
"amharic language","tamharit"
"amnesia","taremmaktut"
"amplification","asedfu, asetfel"
"amplifier","asedfay, asetfal"
"amulet","iherz, iskiren, timga"
"amusing","ametturs"
"an old woman","tamgar"
"anal","amendami"
"analysis","asebrurez, aslad, tasled't, tiseld'in negh tislad'"
"analytic","aseld'an"
"anarchical","awernid'"
"anarchist","arenbadh, awernad', awernadh"
"anarchy","tarenbatt, tawernad't, tawernatt"
"ancestor","amaraw"
"ancient","agles"
"and","dakwd"
"anencephalic","arallagh"
"anencephaly","tarallaght"
"anesthesia","aduyyet, amsgen"
"angelic","aneglas"
"anger","demmar, urrif, zaaff"
"angle","tighmert"
"anguish","amnughjef"
"animal","aghersiw, aywal, taywalt"
"animation","tamekfadhut"
"animator","amekfad'u, imekfud'a"
"annals","imsegwasen"
"annex","amaruz"
"announcement","abrih, tulgha, tullgha, tullghiwin"
"annulment","asbennen, asemmet"
"anomaly","aszalay"
"anonymity","tarisemt"
"anonymous","abnabak, ibnubak, udrig"
"anorak","tamuqelmunt"
"answer","tamrarut, tiririt"
"answering machine","amrawal"
"ant","tawettuft, tiwedhfin, tudhfit"
"anteater","amettci n twed'fin"
"antecedent","azeggwar, azewwar"
"antenna","taska, taskiwin, tisekwa"
"anthem","askawi"
"anthill","tabulga, tawerga"
"anthropology","talsasnet"
"antibody","tafekkamgelt"
"antimony","tazult"
"antique","agles, taglest"
"anti-semite","amgelsami, imgelsamiyen"
"antithesis","tameglamnatt"
"anus","amendam, axuna, tamuni, tifli"
"anvil","tuggunt"
"aoriste","urmir"
"aphasia","assignu"
"apogee","aggi, aggiten, aseffalu"
"appearance","tagamett"
"appetite","aburdu"
"applause","aceqqwer, tasuqqest, tasuqqist"
"application","asnas"
"appointment","asihar"
"appreciation","adakadh"
"approach","anekmar"
"april","ibrir, yebrir"
"apron","tabanta, tibantiwin"
"aquarium","amsaman"
"Arab cloak","ahaddam, axnif, talaba"
"arabic","aâr'ab, aâr'aben"
"arabic language","taâr'abt"
"arabic speakers","aâr'abwal"
"arabic studies","amsaâr'ab"
"arabisation","aseâr'eb"
"arabism","tamsaâr'abt"
"arabo-islamic","aâr'ab-ineslem, aâr'aben-inselmen"
"arabo-persian","aâr'ab-afarsi, aâr'aben-ifarsiyen"
"arabo-persian alphabet","agemmay aâr'ab-afarsi"
"arachnid","asarsan"
"aramaic","ar'ami, ar'amiyen"
"aramean language","tar'amit"
"arbitrary","iwri"
"arbitration","tanefrut, tinefra"
"arboreal","amseklu, imsekla"
"arborescence","taseklayt"
"arboretum","tanseklut, tinsekla"
"archeology","tirekkisent"
"architect","amasgad"
"architectural","asegdan"
"architecture","tasegda, tisegdiwin"
"area","annar, inurar"
"aremmas","entrepreneur"
"argument","afakul, ifukal"
"argumentative","afakal"
"arian","ari, ariyen, aryani, aryaniyen"
"arianian","taryanit"
"arithmetic","tasnamdhant"
"arm","ighil"
"armchair","attag"
"armed","igen, ignan, rbeb, tazemmalt"
"armenia","ar'minya"
"armenian","ar'mini, ar'miniyen"
"armenian language","tar'minit"
"arming","taszulli, taz'uli, tizula"
"army","igen, ignan, tamaghlayt"
"aroma","tinbi"
"arrangement","akafas"
"arrest","abbaz, abbaz, abbazen"
"arrived","aggwadh, alekkum"
"arrogance","zzux"
"art","taszuri, taz'uri, tizuryin"
"art gallery","taneklut, tinekla"
"artichoke","tifeghwet, tifeghwin"
"artichokes","tifeghwa"
"article","amagrad"
"article grammar","amagrad"
"articular","awerman"
"artillery","tamerda, timerdiwin"
"artisanal","andayan"
"artistic","anaz'ur, inuzar"
"as","am, dayen, ula"
"ash","ighed, ighighden, tinifest"
"ashtray","imsighden, imsighed"
"asian afro languages","afrasyawi, ifrasyawiyen, tutlayin tifrusyawiyin"
"aspect","timeszrit, timez'ra, timez'ri"
"aspectual","imez'ri"
"aspiration","aslum"
"assam","assam"
"assamese","assami, assamiyen"
"assamese language","tassamit"
"assassin","aned'lib, anedhlib"
"assembly","agraw, asegrew, asemlili"
"assessment","askazal, tamaduzt"
"assiduity","tisegli"
"assimilate one to the other","amserti, imserta, ittemsertay, mserti, ur imserta"
"assimilated","artay"
"assimilation","tamsertit, timserta"
"associate","ammazul, immuzal"
"associated","amdukel"
"association","asihar, tamesmumt, tiddukla, tiddukliwin"
"assumption","tandagt"
"assyrian","acuri, acuriyen"
"assyrian language","tacurit"
"asthma","abuneggaf, aneggaf, buneggaf"
"astonishment","abehdi, abhadh, awham"
"astral","atrawi"
"astronaut","amsallun"
"astronomer","amesnallun"
"astronomical","asnallun"
"astronomy","tasnaggurt"
"asylum","tamhara"
"asymmetry","tirsit"
"at","ghar, ghur"
"ativist","aremday"
"atmosphere","tignaw, tignewt"
"atmospheric","anegnaw"
"atom","abelkam"
"atom-gram","abelkam-agr'am, ibelkamen-igr'amen"
"atomic","abelkim"
"atomicity","tabelkamt"
"atomism","tamesbelkamt"
"atomist","amesbelkam"
"atomized","abulkim"
"atrocious","anessaruf"
"attacking","ament'ag"
"attending","amarag, imurag"
"attention","tagerrawt"
"attention!","ghurek, ghurem, ghurwen"
"attentive","amegraw"
"attestation","tamnagit, timnuga"
"attic","aghzan, taarict, takanna"
"attitude","addud"
"attraction","tiaasszyt"
"attractive","aleghdan"
"attribute","ayla"
"audience","tibeddi, tibeddiyin"
"audiotape","tanakact taslawit"
"audiovisual","asliqqel"
"augmentative","amernaw"
"august","ghect, ghuct"
"aunt","nanna, tsater, xalti"
"authentic","asnemdan"
"authenticity","asala, tasnemda"
"author","ameskar, amwan"
"author of a proposition","amsumar"
"authoritative","amdenkay"
"authority","adabu, anesdabu, iduba, inesduba, tanbatt"
"authorization","turagt"
"auto","…man"
"auto censure","adrasman"
"auto generation","afrekmen, frekmen, ifrekmen, ittefrekman, ur ifrekmen"
"auto-administrator","afrekmani"
"autobiographic","ameddurman"
"autobiography","tameddurmant"
"autocracy","taneddabut"
"autocrat","aneddabu"
"automatic","aymani"
"automatic device","amenwer, tiwwurmemt"
"automaton","awurman"
"autonme","amwan"
"autonomy","tafulmanit"
"autumnal","anemwan"
"availability","tanamalt"
"available","anamal"
"avenue","tasukt, tisuka"
"average","talemmast"
"aviation","tamsafga, timsafgiwin"
"aviator","amsafeg"
"awakening","asakwi, tanekra"
"awning","adla"
"ax","tacaqurt, tagelzimt"
"axial","aglusan"
"axillaries","imeghrad, imeghred"
"axis","agellus, igellas"
"aztec","aztiki, aztikiyen"
"babouche","ibelghat, idukan"
"baby","agrud, ilufan, taslemya"
"baby-sitter","tamagaz't"
"bachelor","amarag, ambur, imaragen negh imurag"
"backing","asalel, asnal"
"bad","diri, icmet"
"badly to make it","gned"
"bag","aghellab, aqwrab"
"bag to back","asga n weârur"
"baggage","afecku, ilalen"
"baker","amseghrum"
"bakery","taneghrumt"
"balance","amsewliwel, amsewliwel, tamaghant, tisisetlin, tisistelt"
"balanced","amnekna, amnekni, imnekni"
"balancing","amnekna"
"balcony","ilemci, ilemciyen"
"bald","aferd'as, aferdhas, aqcer"
"bali","bali"
"balinese","abalini, ibaliniyen"
"balinese language","tabalit"
"ball","ddabex, idubax, isiggden, isigged, takurin, takurt, ticiret"
"ball (1)","ddabex, takurt, ticcirt, ticirtin"
"ballet","asummur"
"balloon","tacifuft"
"Balochi","abalutci, ibaluciyen"
"baluchi language","tabalutcit"
"baluchistan","balutcistan"
"banana","tabanant, tagharaggant, tagharaggant."
"band aid","asdul"
"bandaging","utul"
"bank","tabanka, tibankiwin"
"banquet","adraw"
"bantu","abantu, ibantuten"
"bantu language","tutlayin tibantutin"
"bark","aseglef, ashewhew"
"barley","timszin"
"barrette","tizzfin"
"base","alektu, ilekta"
"basin","amdun, asarigdj, taseqqamut, tiseqquma"
"basis","abud', abudh, azadur"
"basket","adhellaa, aqecwal, aqwrab"
"basketball","aburkes, ddabex uqecwal, ibureksen"
"basque","abaski, ibaskiyen"
"basque language","tabaskit"
"bath","acucef, ucaf"
"bathyscaph","tisidert, tisidrin"
"battalion","agalfu"
"be different one of the other","ammezli, immezli, ittmezlay, mmezli, ur immezli"
"be urgent-lemon","tisiz'emt, tisuzam"
"beach","taftist"
"beacon","afensu, ifensa"
"beacon of car","afnar'"
"beak","aqamum"
"beaming","azenzir"
"beans","ibawen"
"bear","ajgelgal"
"beautiful","afulki, ahuskay, ighuda"
"beauty","afulki, aghuda, tahuski, tihuskiyin"
"beaver","amekdad"
"bebero-phone","amazighwal, imazighwalen"
"because","acku, asakac, axattar"
"bed","adebni, amettrah, usu"
"bee","tizizwa, tizizwit"
"beef","aaejmi, afunas, akentuur"
"been","anebdu"
"begging","aaettar, amattsar"
"beginning","tazzwara, tizzwariwin"
"behavior","tikli"
"being sufficient","amegdaz icatt"
"belarus","byilurusya"
"belief","taflest"
"bell","anagna, nnaqus"
"beloved","aneglus"
"belt","tabgest, tagheggwatt"
"belt of construction","tabagust, tibugas"
"bench","ameskiwes, imesliwsen"
"bending","talmadhi"
"beneficence","tullught"
"beneficial","abaghar"
"benefit","tazzilt"
"berber","amazigh, tamaceght, tamachek, tamaheght, tatergit"
"Berber","amazig, umazig"
"berber language","amazigh, tamazight"
"berber studies","amesmazigh"
"berberian","amazighie, tamazgha"
"berberism","tamesmazight"
"besides","acullidh, tacullitt"
"bet","amecqerri, timecqerriwt"
"better","uf, xir, yif"
"between","gar"
"bibliography","adlesumugh"
"bicephalous","tasnigheft, tisnighfin"
"biceps","tigeltemt, tigeltyam"
"bicycle","tasnasghalt"
"big","afuyan, ameqqran, amuqran, amuqran, meqqwer, umeqqran"
"big (1)","azuran"
"bilingual","amesnawal, asnutlay"
"bilingualism","tasnutlayt"
"bill","aghan"
"billbook","amezyan, amger, amjar"
"billion","abelyun, amelyar'"
"binary","imisin"
"binder","isiqqen, isiqqnen"
"binomial","asenful"
"biography","tameddurmant, tameddurt"
"biology","tudersent, tudersnawt"
"bird","agd'id', igd'ad'"
"bird-seller","anegdad"
"birth","talalit"
"birthday","amulli"
"biting","asemmam, asemmus, semmum"
"bitter","amarzagu, merzeg"
"bitterness","tarzeg, timerzegt"
"black","aberkan"
"blackberry","tizwal, tizwelt"
"blackmail","tadabart"
"blacksmith","amzil"
"bladder","tambult"
"blame","acuced, azawar"
"blessing","sser, talemmih't, talemmiht"
"blimp","afad'ad', afadhadh, ifud'ad'"
"blind","aderghal, wariszri"
"blinding","atules, calwaw"
"blindness","butellis, tidderghelt"
"blinking","aghemmaz, aghemmaz, asablaw, asablaw, asablew, tasmelt, tisemlin"
"blinking (1)","aghemmez, asrummec"
"blister of burn","tacelbutt"
"blockage","taqqamt"
"blond","abhaw, abhaw, acelhab, acelhab"
"blood","idammen, idim"
"blossoming","arzuzzegh"
"blouse","takerbast"
"blowtorch","aselqam"
"blue","aszerwal, az'erwal, azegzaw"
"blue algae","adal az'erwal, cyanobactérie"
"boar","ilef"
"boaster","afeccac, amzuxu"
"boat","agherrabu, igherruba, tiraf, tiraf, tireft"
"body","tafekka, tifekkiwin"
"bogus","anehyad"
"Bolivia","bolevia"
"bolivian","abulivi, ibuliviyen"
"bomb","tafezwayt"
"bombardment","taberrawt"
"bone","amder, ighes, ighsan"
"bony","aghsaw"
"book","adlis"
"bookbinder","amaddad"
"bookbinding","udud"
"booklet","tadlist"
"bookseller","amedlis"
"bookstore","tanedlist"
"boot","abuzeg, amghun, ibuzgen"
"border","aymir, talast, tilisa"
"boredom","lxiq, taremmight"
"borrower","amerdal"
"boss","akerwa"
"bottle","tammumt, tamzuka, timzukiyin"
"bottom","algh, ider, idran"
"boulevard","azeglal"
"bound","amaruz, amsetla, amudid, imudad, msetlel"
"boundary-mark","agmir, awettu"
"bouquet","tameqqunt"
"bovine","azegri"
"bowl","aqedduh, tamduct, taz'uda, timducin, tizudwin"
"box","tanaka, tinuka"
"boxer","aleggam"
"boxing","taleggimt, ukkim"
"boy-scout","askuti, iskutiyen"
"bracelet","tazebget, tizebgatin"
"braid","tagarlilt, tidli, tidli"
"brain","alexf, allagh, allagh, allaghen, annli, annliten, illexf"
"brains","adji, annli"
"brake","amawagh"
"braking","aggagh"
"branch","acagw, aszel, tasetta"
"brass","adarugh"
"brassy","aghiran"
"brave","amella, d argaz"
"bravery","tirugza"
"brawl","aambwati, amectcew, amennugh"
"brazil","brizil"
"brazilian","abrizili, ibriziliyen"
"bread","aghrum"
"breast","abbic, ifef, iff, tabbuct"
"breathing","asnuffes, nnefs"
"brick","utt'ib"
"bridge","tilegga, tileggit, tileggwit"
"bridle","algamu, srima"
"briefs","tastawt"
"brilliant","asemdan"
"broadcast","tasgilt, tasglit"
"broadcaster","anerdal, anerday"
"bronchitis","ah'erh'ur"
"bronze","adr'enz"
"broom","azzu, inif, izezzu, tamedwazt, tasemmt, tasfatt"
"brother-in-law","adheggwal, aggaw"
"brought up","aggan, alluy, tasawent"
"brown","aghewwal"
"brush","amfezzu, imfezza, tasrenka, tisrenkiwin"
"brushwood","amadagh"
"buckshot","ahlalas"
"budget","tighusar"
"buffet","tanakunt, tinukan"
"bug","abeaauc, abeââuc, amallagh, ibeââac, tanattart"
"building","as'uk, asuk, azadagh, izudagh"
"bulb","acelleqluq, tiderri"
"bulgarian","abulgar'i, ibulgar'iyen, tabulgar'it"
"bulgar'ya","bulgaria"
"bull","azegran"
"bulldozer","amserdab"
"bullet","tablalt"
"bulletin","tanfult"
"bump","taarurt, tahabbuct"
"bumper","amezzagh"
"bundle","tadla, tawlellut, tiwlella"
"bungler","anesfala, anesfata"
"buoy","asafsilel, isafsillen"
"buried","yetswamdhel"
"bursary","adamus, idumas"
"burst","afa, afaten, aleffugh, asettigh, ileffagh"
"burst his","aleffugh"
"burst luminous","afa, ticci"
"burst remnant","asettigh"
"bushy","amadghan"
"business","aweszlu, awez'lu, iweszla, iwez'la"
"but","maana, maca"
"butcher shop","tagezzart"
"butter","trusi, udi"
"buttock","tameccact"
"button","abra, abraten, amsenfal, taqeffalt"
"button of door","taleddayt"
"byelorussian","abyilurusi, ibyilurusiyen, tabyilurusit"
"by-product","adufaris"
"cabbage","azizaw"
"cabinet","amesruku, imesruka"
"cable","agatu, iguta, leâqed, tagatut, tiguta"
"cable car","azarughan"
"cable ship","amesgatu, imesguta"
"cadence","awlellegh"
"cadet","amaszusz, amatul"
"cage","akentu, tafergact"
"cake","angul"
"calculating","amessidhen, tamessadhunt"
"calculation","asidhan, lehsab"
"calculator","taselkimt"
"calendar","awitay, tafada"
"call","aghuri, tighra, tighri"
"call justice","allas allasen"
"calligraphy","izriri"
"calm","adkawi, amlummets"
"camel","alghwem, ileghwman"
"camera","takamra, tamsaknewt, tikamriwin, timsakenwin"
"cameraman","ameskumar"
"camp","agrur, amazir, igur, imizar"
"camping","aqeggel, asdar"
"can","abelyun, abidun"
"can opener","taseldayt"
"cancer","axenzir"
"candidacy","amenzezwar, tanekda"
"candidate","amankad, amazwar"
"candle","tacemmaat, tamsight"
"candy","taz'idant"
"cannibal","amettcemdan"
"cannibalism","tamettcemdant"
"cannon","amrud, aqnay, imrad"
"canteen","tasmetctca"
"canvas","abeh'nuq, ibeh'naq"
"cap","taqremsit"
"capable","htrezmer, imnezgi, izmir, zmer"
"capacity","akettar, tazmart"
"capital","ihran, ihri, tamaneght, timunagh"
"capitalism","asihri"
"capitalist","amsihran, asihrem, asihri, isihriten, tasihremt"
"caprice","antaw, intawen"
"captain","aqebt'an"
"captive","amettaf, amt'uf"
"car","amenziraz, imemzuraz"
"caravan","aneghlam"
"card","takard'a, takardhi, tifert, tikardiwin"
"cardilogie","tasnult"
"cardiologist","amesnul"
"caricature","afghul, ifghal"
"caricaturist","amsefghul"
"carnivore","amettcaksum"
"carpet","tar'akna, tirakniwin"
"carrier","amasay, amaway"
"carrot","tafesnuxt, tifesnax, zrudya"
"carry-baggage","tanfeckut, tinfecka"
"cartilage","agergis"
"cartilaginous","agergas"
"cascade","acer'cur', acercur"
"case","afniq, ammak, asenduq, asenduq, awan, tajr'ut, tijra"
"cassette","tanakact, tasfift, tinukac"
"cassette video","tanakact tazrawit"
"castle","tighermin, tighremt"
"cat","amcic, muc"
"catalog","agherryeb"
"catastrophic","amsekrar"
"catchment","attaf, tuttfa"
"category","taggayin, taggayt"
"catnap","aqeggel, qeggel"
"cats","imcac"
"cauliflower","azizaw akernennay"
"causality","tamentelt"
"cave","ifri"
"cebuano","tacebuanot"
"ceiling","asefl"
"celebrate","amsun"
"celebrity","cciaa, tamelt, tumal"
"celestial","agenwan"
"cell phone","asawal amway"
"cellar","aderbuz"
"celtic","aselti, iseltiyen"
"celtic language","taseltit"
"celtic languages","tutlayin tiseltiyin"
"cemetery","andher, tamedhdhalt"
"censor","aderras"
"censored","ittswadras, ttswadres"
"censorial","adersan"
"censorship","tadrest, tidersin"
"census","uddun"
"census taker","amaddan"
"center","almmas, ammas, talemmast"
"center of cares","ammas n usisfer"
"center of formation","ammas n usilegh"
"center of revolved","aszimmas"
"centigram","asuntigr'am"
"centimeter","asuntimitr, isuntimitren"
"central","alemmas"
"central america","tamrikt n talemmast"
"centralization","asnammas"
"century","timid'a, timid'i"
"cephalic","axfi"
"cereal","imenda, imendi"
"ceremony","tafugla, tifugliwin"
"certainty","talkint, tileknin"
"certificate","aselkim, iselkan"
"cervical","amegrad"
"chain","azrar, tazrart"
"chainsaw","taferrast"
"chalk","anegmirs"
"challenge","acqirrew, anaszar"
"challenging","asmentas"
"chamber pot","tah'ibust, taswent, timh'ibest"
"chamberpot","tah'ibust, taswent, timh'ibest, tisewnin"
"chameleon","ddikuc, felt"
"champion","alghugh"
"championship","talghugha, tilghughiyin"
"change","abeddel, arjan, asnifel"
"chapter","ayli (aylan), ixf (ixfawen)"
"character","asekkil"
"characteristic","amsekni, taskant"
"charter","akrawal, arkawel, irkuwal"
"cheating","takennatt"
"cheek","ihenk, lehnak"
"cheese","aguglu, igugla, takemmart"
"cheese white","aguglu ighunam"
"cheetah","agerzam, amayas"
"chelonian","afekran"
"chemist","ameskran, amsekrar"
"chemistry","takrura"
"cherry","taknisya, tared'limt"
"chest","idmaren"
"chick","afellus, atcewtcew, itcewtcwen"
"chicken","ayazd'an, ayazidh"
"chickpea","afercic, lh'emmez', lh'emmez.'"
"chief","aghella, ighellaten, imdhebbar"
"child","agrud, amecttuh"
"chimney","timsuffeght"
"chin","tamart"
"chinese","acinwat, icinwaten"
"chinese language","tacinwat"
"chipped","agenfad, agirar"
"chloral","aklur'al"
"chloric acid","aklur'i, amaghus aklur'i"
"chloride","aklur'ur'"
"chlorinated","abuklur'"
"chlorine","aklur"
"chlorite","aklur'it"
"chloroform","aklur'ufur'm"
"chlorophyll","taklur'ufilt"
"choice","adghar, afran"
"choir","talilt, tililt"
"chorus","tasetna, tisetniwin"
"christian","afr'ensis, amasih'i, ar'umi, ir'umyen"
"chromium","akr'um"
"chronicle","akucam"
"chronological","asnimiran"
"chronology","tasimirt"
"cinic","akaswar, akawsar, akawsir"
"circa","ar gher"
"circle","taszayert, tawinest"
"circuit","amnennid', awerrayt"
"circular","awerray, uwnis"
"circulation","asikel, tasnisnit"
"circumcision","axtan, tthara"
"circumstance","amaghlay"
"circumstantial","ameghlayi"
"circus","asrir"
"cistern","tanuttfi"
"citizen","agherfan, agherman"
"citizenship","tiqqerma, tiqqermi"
"city","agharam, ighuram"
"city-dweller","ughrim"
"civil servant","anawar, inuwar"
"civilian","aghrim"
"civilization","tagherma, tighermiwin"
"civilized","aneghrum"
"clan","tamadla, taqbilt, timadliwin"
"clandestine","amaffar, unttil"
"clandestinity","tanettla, tuffirt"
"clarification","asfaw"
"clarify","aflalay"
"class","asmil, tadala"
"class of school","taneghrit, tineghra"
"class school","taneghrit, tineghra"
"class social","taserkemt, tiserkam"
"classic","amghul"
"clean","izdig"
"cleaning","afras, arras, tundha"
"cleanliness","tezdeg"
"clever","addinkay, iszwar"
"cleverness","teszwar, tiddinkyet"
"click","tirkeft"
"climate","anezwu, inezwa"
"climatic","anezway"
"clip","tighemdin"
"clippers to hair","taslust"
"clique","tirekfin, tirkeft"
"cliquish","amedlan"
"clock","tamasragt"
"clog shoe","aqebqab"
"clorometric","taklur'umitrit"
"cloropicrine","taklur'upikrint"
"cloropromazine","taklur'uprumazint"
"cloroquine","taklur'ukint"
"closure","tiggagh, tiggeght"
"cloth","asafud, ccac, isufad"
"clothes pin","anatt'af"
"cloud","asigna, tayut"
"clown","agwennactal"
"club","amaddaz, asayes, asrir, azduz, isuyas"
"club of golf","aswut"
"clumsy","abujad"
"cluster","agazu, ayazi, azekkun"
"coach","amalas"
"coarse","asefsawi, uqbih"
"coast","aberdi, aghezdis"
"coastal","anefsar"
"coat","abartu, azennar'"
"code","angal"
"coded","amengal"
"coding","tangalt"
"coefficient","amuskir"
"coffee","taneghlust"
"coffee pot","abaqraj, tamseghlust"
"cognition","tawessunt"
"cognitive","awessun"
"cohesion","akerresz"
"coil","tunndha, tutsla"
"coin","asurdhi"
"cold","adhu, asemmidh"
"colic","azebar"
"collar","iran, iri, tizi"
"colleague","amidaw"
"collected","agraw"
"collection","talkensit, tilkensa"
"collective","amazday, anbaz, inbaz, n ujmu, n ujmu, unbaz, unbaz"
"collectivism","tanesbazit"
"collectivist","ansbazi"
"collectivity","tajmut, tamazdayt, tanbazit"
"collector","alkensay, asembaz"
"collegiate","uwizi"
"colonel","aknaner, iknunar"
"colonial","ahersan"
"colonialism","tamharsa, timharsiwin"
"colonialist","amhersan"
"colonist","amhares"
"colonization","tasehrest, tisehras"
"colonizer","anehras"
"colony","tahrest, tihras"
"color","ini, initen"
"column","ajgu"
"column of newspaper","tagejdit, tigejda"
"coma","igin"
"comatose","aginan"
"comb","amsaray"
"combative","ameggat, imeggaten"
"combativeness","tameggatt"
"combination","tuddsa, tuddsiwin"
"combinative","tasennuyt"
"comedian","amellagh, aszruf, azeffan"
"comedy","tamellaght"
"comet","asmil"
"coming down","asubbu, takwessart"
"comma","ticcert"
"command","aladen"
"commando","azlu, izla"
"commentary","ardad, awennit"
"commentator","awennat"
"commerce","astug"
"commercial","amzenzi"
"commission","tasmilt"
"committee","tarbaat, tirebbaa"
"common","amsihar, imsihar"
"commotion","dderdih, tcaqlala"
"communal","anaggay"
"communicate","alghu, ilgha"
"communication","taghwalt, tamyawatt, taywalt"
"communicational","amaywal"
"communism","tazdukla, tizdukliwin"
"communist","azduklan"
"commutation","asenfel"
"company","tamunt"
"comparison","asidmer, asnemhel"
"compass","azulagh, izulagh, tamesnila, timesnilawin"
"compassion","tamella"
"compensation","aghram, amhis, aruz"
"competition","tamelgha, tamenzight, tamzizwert"
"competitor","amzazwar"
